,CONSTITUENCY-WISE DETAILED RESULTS,,,
,NWFP PROVINCE,,,
SL.No.,Constesting candidates,Party Affiliation,Votes Polled,
,,Registered Voters,160984,
,,Percentage of Votes Polled to Registered Voters,28.71,%
,,Asghar/Tanveer,,
,NA-17 Abbottabad-I,,,
1,Mr. Asif Malik Advocate,Hazara Qaumi Mahaz,3384,
2,Al-Haj Habib-ur-Rehman Abbasi,Muttahidda Majlis-e-Amal Pakistan,21383,
3,Mr.Amanullah Khan Jadoon,Pakistan Muslim League(QA),44716,
4,Dr. Azhar Khan Jadoon ,Independent,30949,
5,Sardar Ibrar Ahmad,Pakistan Peoples Party Parliamentarians,3646,
6,Syed Ejaz Hussain Shah,Independent,489,
7,Mr.Ali Asghar Khan,Qaumi Jamhoori Party,4687,
,,Valid Votes,109254,
,,Rejected Votes ,3375,
,,Total Votes ,112629,
,,Registered Voters,284297,
,,Percentage of Votes Polled to Registered Voters,39.62,%
,NA-18 Abbottabad-II,,,
1,Sardar Muhammad Yaqoob,Pakistan Muslim League(QA),36826,
2,Qari Syed Abdul Rahim Shah,Muttahidda Majlis-e-Amal Pakistan,13017,
3,Qazi Muhammad Azhar,National Alliance,6145,
4,Col ® Abdul Ghafar Javed,Independent,2145,
5,Mr.Muhammad Aurangzeb Choudhry,Pakistan Awami Tehreek,3516,
6,Mr.Murtaza Javed Abbasi,Pakistan Muslim League(N),32527,
7,Nawabzada Jehangir Saeed Tanoli,Independent,19784,
8,Mr.Naveed Ashraf Abbasi,Independent,120,
,,Valid Votes,114080,
,,Rejected Votes ,3200,
,,Total Votes ,117280,
,,Registered Voters,323694,
,,Percentage of Votes Polled to Registered Voters,36.23,%
,,NA-19 Haripur,,
1,Sardar Abdur Raoof Khan,Pakistan Peoples Party Parliamentarians,16902,
2,Mr.S. Muhammad Sabir Shah,Pakistan Muslim League(N),61359,
3,Mr.S. Waqar Hussain Shah,Independent,1582,
4,Mr.Abdul Hamid Khan,Pakistan Awami Tehreek,1978,
5,Mr.Umer Ayub Khan,Pakistan Muslim League(QA),81496,
6,Mr.Ghulam Nabi,Muttahidda Majlis-e-Amal Pakistan,30514,
7,Mr.Muhammad Shehryar Khan,Pakistan Muslim League(J),5956,
,,Valid Votes,199787,
,,Rejected Votes ,6277,
,,Total Votes ,206064,
,,Registered Voters,453508,
,,Percentage of Votes Polled to Registered Voters,45.44,%
,,Asghar/Tanveer,,
,NA-20 Mansehra-I,,,
